delivery_id,origin_postal_code,destination_postal_code,ship_date,expected_delivery_date,actual_delivery_date,package_type,weight_kg,priority,status,carrier,customer_name
DEL-00001,90001,03101,2023-05-14,2023-05-21,2023-05-21,perishable,88.5,standard,delivered,UPS,MegaMart Supply
DEL-00002,19103,02101,2023-05-16,2023-05-23,,perishable,67.6,standard,in_transit,Amazon Logistics,Greenfield Organics
DEL-00003,68102,88001,2023-04-18,2023-04-19,2023-04-19,electronics,51.0,overnight,delivered,UPS,ByteStream Hardware
DEL-00004,01201,07102,2023-04-03,2023-04-09,,fragile,32.1,standard,in_transit,USPS,Studio Lumiere
DEL-00005,43215,07102,2023-05-07,2023-05-09,,standard,103.5,express,scheduled,Amazon Logistics,SecureShip Hazmat
DEL-00006,19103,89101,2023-04-07,2023-04-13,2023-04-12,electronics,28.3,standard,delivered,FedEx,Allied Chemical Corp
DEL-00007,63101,33101,2023-05-12,2023-05-15,,fragile,112.4,standard,in_transit,USPS,ByteStream Hardware
DEL-00008,33101,82001,2023-05-11,2023-05-18,2023-05-18,frozen,118.7,standard,delivered,DHL Express,SafeHaul Logistics
DEL-00009,93101,06103,2023-04-14,2023-04-21,2023-04-24,electronics,32.5,standard,delayed,USPS,CircuitPeak Electronics
DEL-00010,37201,98101,2023-04-16,2023-04-17,,standard,32.2,overnight,scheduled,DHL Express,MegaMart Supply
DEL-00011,44113,88001,2023-05-19,2023-05-22,2023-05-24,fragile,59.5,standard,delayed,UPS,Evergreen Gardens
DEL-00012,90001,33101,2023-04-30,2023-05-07,2023-05-08,live_plants,46.1,standard,delivered,FedEx,CircuitPeak Electronics
DEL-00013,10001,92101,2023-05-12,2023-05-15,2023-05-15,frozen,32.4,express,delivered,Amazon Logistics,National Supply Co
DEL-00014,33101,80202,2023-05-03,2023-05-05,2023-05-08,perishable,91.6,express,delayed,USPS,Evergreen Gardens
DEL-00015,90001,85001,2023-05-30,2023-06-06,2023-06-11,standard,114.4,standard,delayed,UPS,Precision Chemicals
DEL-00016,60601,85001,2023-05-27,2023-05-28,2023-05-28,perishable,7.4,overnight,delivered,USPS,ChemCore Solutions
DEL-00017,21201,93101,2023-05-04,2023-05-11,,standard,20.2,standard,in_transit,DHL Express,Precision Chemicals
DEL-00018,37201,82001,2023-05-12,2023-05-15,,frozen,119.4,express,in_transit,USPS,CircuitPeak Electronics
DEL-00019,87101,68102,2023-04-15,2023-04-22,2023-04-22,pharmaceutical,70.8,standard,delivered,USPS,Greenfield Organics
DEL-00020,95814,90001,2023-05-03,2023-05-07,2023-05-07,perishable,40.0,standard,delivered,FedEx,Allied Chemical Corp
DEL-00021,37201,82001,2023-05-21,2023-05-22,,pharmaceutical,57.0,overnight,scheduled,Amazon Logistics,HazSafe Transport
DEL-00022,28202,01201,2023-05-17,2023-05-20,,perishable,56.3,standard,scheduled,DHL Express,Crystal Clear Imports
DEL-00023,94102,01201,2023-05-05,2023-05-08,2023-05-08,perishable,23.4,express,delivered,FedEx,ChemCore Solutions
DEL-00024,35203,80202,2023-05-06,2023-05-07,2023-05-08,electronics,103.4,overnight,delivered,DHL Express,Glacier Cold Chain
DEL-00025,10001,01201,2023-04-14,2023-04-17,2023-04-19,hazmat,58.5,express,delayed,UPS,Crystal Clear Imports
DEL-00026,43215,10001,2023-05-17,2023-05-24,,artwork,51.0,standard,scheduled,DHL Express,Gallery Moderne
DEL-00027,84101,12207,2023-04-04,2023-04-09,2023-04-10,pharmaceutical,88.4,standard,delivered,FedEx,HazSafe Transport
DEL-00028,80202,87101,2023-04-12,2023-04-15,,hazmat,10.1,standard,in_transit,FedEx,Evergreen Gardens
DEL-00029,89101,23219,2023-04-03,2023-04-04,,fragile,69.7,overnight,in_transit,Amazon Logistics,ChemCore Solutions
DEL-00030,97201,83702,2023-04-16,2023-04-17,2023-04-16,standard,86.1,overnight,delivered,UPS,NovaRx Distribution
DEL-00031,94102,27601,2023-05-07,2023-05-08,2023-05-08,standard,55.3,overnight,delivered,FedEx,Greenfield Organics
DEL-00032,85001,29401,2023-04-19,2023-04-23,,pharmaceutical,29.7,standard,in_transit,FedEx,SecureShip Hazmat
DEL-00033,59601,96813,2023-05-06,2023-05-07,2023-05-08,electronics,80.3,overnight,delayed,Amazon Logistics,Greenfield Organics
DEL-00034,04101,35203,2023-05-09,2023-05-13,,perishable,33.0,standard,scheduled,Amazon Logistics,MegaMart Supply
DEL-00035,37201,92101,2023-05-25,2023-05-28,2023-05-28,standard,108.7,standard,delivered,DHL Express,SafeHaul Logistics
DEL-00036,35203,19103,2023-05-06,2023-05-09,,perishable,89.1,express,in_transit,USPS,FrostBite Foods
DEL-00037,03101,21201,2023-04-24,2023-04-26,,artwork,4.8,express,in_transit,UPS,Precision Chemicals
DEL-00038,19103,60601,2023-05-14,2023-05-15,,fragile,43.3,overnight,scheduled,FedEx,SecureShip Hazmat
DEL-00039,55401,83702,2023-05-30,2023-06-03,2023-06-05,hazmat,19.0,standard,delayed,Amazon Logistics,Delicate Touches
DEL-00040,53202,02101,2023-05-18,2023-05-19,2023-05-18,pharmaceutical,80.6,overnight,delivered,DHL Express,Glacier Cold Chain
DEL-00041,01201,46204,2023-04-30,2023-05-01,2023-05-01,chemical,98.1,overnight,delivered,UPS,Bloom & Grow Nursery
DEL-00042,32801,02101,2023-05-20,2023-05-25,2023-05-26,standard,8.8,standard,delivered,USPS,Allied Chemical Corp
DEL-00043,46204,92101,2023-04-17,2023-04-21,,artwork,105.3,standard,in_transit,FedEx,Artisan Glass Co
DEL-00044,29401,19103,2023-05-03,2023-05-06,2023-05-07,perishable,72.9,standard,delivered,USPS,Crystal Clear Imports
DEL-00045,28202,35203,2023-05-14,2023-05-18,2023-05-18,perishable,96.9,standard,delivered,Amazon Logistics,Heritage Art Movers
DEL-00046,98101,48201,2023-05-03,2023-05-06,,standard,108.1,express,scheduled,FedEx,Delicate Touches
DEL-00047,60601,53202,2023-04-25,2023-04-27,,frozen,80.0,express,in_transit,UPS,Crystal Clear Imports
DEL-00048,27601,53202,2023-05-08,2023-05-15,,standard,51.9,standard,scheduled,USPS,Bloom & Grow Nursery
DEL-00049,50309,68102,2023-05-21,2023-05-25,,standard,108.2,standard,scheduled,DHL Express,Glacier Cold Chain
DEL-00050,70112,87101,2023-04-16,2023-04-19,2023-04-19,standard,114.3,express,delivered,FedEx,Botanica Direct
DEL-00051,12207,02101,2023-04-30,2023-05-01,2023-05-06,perishable,92.3,overnight,delayed,Amazon Logistics,Allied Chemical Corp
DEL-00052,28202,96813,2023-04-01,2023-04-04,,frozen,78.9,standard,scheduled,UPS,MegaMart Supply
DEL-00053,32801,30301,2023-05-29,2023-05-31,,live_plants,67.1,express,in_transit,DHL Express,Pinnacle Pharma
DEL-00054,50309,89101,2023-05-10,2023-05-13,,standard,107.0,express,scheduled,USPS,National Supply Co
DEL-00055,82001,68102,2023-04-16,2023-04-19,,hazmat,31.5,express,scheduled,DHL Express,BulkBuy Wholesale
DEL-00056,87101,84101,2023-04-18,2023-04-23,2023-04-24,standard,34.6,standard,delivered,FedEx,ByteStream Hardware
DEL-00057,07102,12207,2023-04-27,2023-05-03,2023-05-03,pharmaceutical,26.1,standard,delivered,UPS,ByteStream Hardware
DEL-00058,53202,06103,2023-05-27,2023-06-03,2023-06-03,electronics,2.8,standard,delivered,Amazon Logistics,ByteStream Hardware
DEL-00059,55401,27601,2023-05-05,2023-05-06,,frozen,89.8,overnight,in_transit,DHL Express,Precision Chemicals
DEL-00060,35203,68102,2023-04-30,2023-05-04,,standard,20.2,standard,cancelled,DHL Express,Delicate Touches
DEL-00061,59601,02101,2023-04-09,2023-04-12,2023-04-12,hazmat,77.3,express,delivered,FedEx,TechVault Inc
DEL-00062,43215,60601,2023-05-24,2023-05-30,2023-05-30,electronics,90.4,standard,delivered,DHL Express,SafeHaul Logistics
DEL-00063,80202,02101,2023-05-20,2023-05-23,,frozen,78.2,standard,scheduled,USPS,ChemCore Solutions
DEL-00064,23219,28202,2023-04-08,2023-04-10,,chemical,57.1,express,in_transit,UPS,MegaMart Supply
DEL-00065,29401,43215,2023-04-20,2023-04-22,,pharmaceutical,98.4,express,in_transit,FedEx,National Supply Co
DEL-00066,27601,97201,2023-05-08,2023-05-09,2023-05-09,standard,24.2,overnight,delivered,DHL Express,ByteStream Hardware
DEL-00067,89101,88001,2023-05-05,2023-05-08,,live_plants,5.4,express,scheduled,Amazon Logistics,Glacier Cold Chain
DEL-00068,21201,87101,2023-04-28,2023-05-03,,standard,59.1,standard,in_transit,DHL Express,Botanica Direct
DEL-00069,50309,96813,2023-05-22,2023-05-29,,pharmaceutical,32.8,standard,scheduled,Amazon Logistics,Pacific Fresh
DEL-00070,50309,44113,2023-05-30,2023-06-01,2023-06-01,chemical,29.8,express,delivered,USPS,Allied Chemical Corp
DEL-00071,23219,93101,2023-05-25,2023-05-28,2023-05-28,standard,3.9,express,delivered,DHL Express,FreshDirect Farms
DEL-00072,55401,29401,2023-05-31,2023-06-01,2023-05-31,electronics,1.7,overnight,delivered,USPS,Precision Chemicals
DEL-00073,53202,85001,2023-04-29,2023-05-02,2023-05-02,standard,85.6,standard,delivered,DHL Express,Pacific Fresh
DEL-00074,46204,95814,2023-04-23,2023-04-26,,electronics,66.6,express,cancelled,USPS,SubZero Provisions
DEL-00075,82001,48201,2023-05-17,2023-05-21,2023-05-20,fragile,28.0,standard,delivered,USPS,SafeHaul Logistics
DEL-00076,59601,93101,2023-05-19,2023-05-26,,frozen,87.1,standard,in_transit,DHL Express,SafeHaul Logistics
DEL-00077,01201,37201,2023-04-09,2023-04-14,2023-04-14,electronics,85.1,standard,delivered,USPS,Greenfield Organics
DEL-00078,82001,70112,2023-05-07,2023-05-12,,frozen,104.8,standard,in_transit,DHL Express,Artisan Glass Co
DEL-00079,68102,48201,2023-04-26,2023-05-02,2023-05-01,pharmaceutical,98.7,standard,delivered,DHL Express,Artisan Glass Co
DEL-00080,89101,06103,2023-04-08,2023-04-11,,pharmaceutical,119.3,express,in_transit,USPS,TechVault Inc
DEL-00081,81501,32801,2023-04-28,2023-05-03,,live_plants,103.3,standard,in_transit,DHL Express,Gallery Moderne
DEL-00082,06103,90001,2023-05-13,2023-05-16,2023-05-16,artwork,25.7,standard,delivered,UPS,Pacific Fresh
DEL-00083,82001,21201,2023-04-15,2023-04-20,,pharmaceutical,35.3,standard,scheduled,Amazon Logistics,SubZero Provisions
DEL-00084,92101,50309,2023-05-08,2023-05-12,,perishable,95.1,standard,in_transit,USPS,Glacier Cold Chain
DEL-00085,59601,32801,2023-05-21,2023-05-22,,standard,7.6,overnight,in_transit,UPS,TechVault Inc
DEL-00086,83702,70112,2023-04-18,2023-04-25,,standard,48.6,standard,in_transit,USPS,ByteStream Hardware
DEL-00087,68102,07102,2023-04-06,2023-04-07,,standard,30.4,overnight,cancelled,USPS,Studio Lumiere
DEL-00088,83702,88001,2023-05-19,2023-05-20,,artwork,5.3,overnight,in_transit,USPS,HazSafe Transport
DEL-00089,94102,68102,2023-05-02,2023-05-05,,hazmat,76.4,standard,in_transit,Amazon Logistics,Crystal Clear Imports
DEL-00090,53202,48201,2023-05-02,2023-05-07,,electronics,49.7,standard,scheduled,UPS,FreshDirect Farms
DEL-00091,46204,93101,2023-05-20,2023-05-26,2023-05-27,standard,39.1,standard,delayed,USPS,SafeHaul Logistics
DEL-00092,98101,59601,2023-05-02,2023-05-08,,standard,74.9,standard,scheduled,Amazon Logistics,MediQuick Labs
DEL-00093,37201,70112,2023-04-08,2023-04-09,,standard,83.9,overnight,cancelled,DHL Express,SecureShip Hazmat
DEL-00094,88001,23219,2023-04-15,2023-04-18,,frozen,49.3,standard,in_transit,FedEx,Precision Chemicals
DEL-00095,03101,98101,2023-04-27,2023-05-03,,chemical,84.8,standard,cancelled,USPS,Evergreen Gardens
DEL-00096,23219,80202,2023-04-09,2023-04-12,2023-04-12,standard,89.7,standard,delivered,Amazon Logistics,Evergreen Gardens
DEL-00097,48201,87101,2023-05-13,2023-05-19,2023-05-23,electronics,70.6,standard,delayed,USPS,Botanica Direct
DEL-00098,59601,80202,2023-04-21,2023-04-23,,electronics,54.9,express,cancelled,Amazon Logistics,CircuitPeak Electronics
DEL-00099,23219,97201,2023-05-01,2023-05-02,2023-05-01,fragile,38.5,overnight,delivered,DHL Express,Pinnacle Pharma
DEL-00100,94102,12207,2023-04-07,2023-04-13,2023-04-13,standard,40.2,standard,delivered,Amazon Logistics,HazSafe Transport
DEL-00101,10001,99501,2023-04-17,2023-04-18,,pharmaceutical,56.6,overnight,in_transit,UPS,TechVault Inc
DEL-00102,46204,98101,2023-05-11,2023-05-17,2023-05-18,perishable,114.5,standard,delayed,Amazon Logistics,CircuitPeak Electronics
DEL-00103,81501,21201,2023-04-28,2023-04-30,,electronics,89.7,express,scheduled,USPS,ChemCore Solutions
DEL-00104,95814,01201,2023-04-04,2023-04-07,2023-04-07,standard,39.3,express,delivered,FedEx,Pinnacle Pharma
DEL-00105,12207,29401,2023-05-10,2023-05-13,,standard,21.4,express,in_transit,UPS,FrostBite Foods
DEL-00106,23219,85001,2023-04-17,2023-04-20,2023-04-24,hazmat,30.9,standard,delayed,DHL Express,Pacific Fresh
DEL-00107,70112,92101,2023-04-28,2023-05-03,,standard,36.2,standard,in_transit,USPS,HazSafe Transport
DEL-00108,27601,28202,2023-04-23,2023-04-24,,artwork,46.1,overnight,cancelled,FedEx,ChemCore Solutions
DEL-00109,70112,02101,2023-05-14,2023-05-16,2023-05-20,artwork,68.1,express,delayed,USPS,Greenfield Organics
DEL-00110,70112,32801,2023-05-19,2023-05-23,,standard,30.4,standard,in_transit,UPS,Studio Lumiere
DEL-00111,90001,98101,2023-04-09,2023-04-11,2023-04-14,perishable,44.1,express,delayed,FedEx,HazSafe Transport
DEL-00112,99501,53202,2023-05-04,2023-05-11,2023-05-13,pharmaceutical,116.6,standard,delayed,Amazon Logistics,SecureShip Hazmat
DEL-00113,29401,84101,2023-04-05,2023-04-09,,artwork,14.3,standard,scheduled,USPS,Glacier Cold Chain
DEL-00114,32801,92101,2023-04-26,2023-04-27,2023-04-27,frozen,11.3,overnight,delivered,Amazon Logistics,MediQuick Labs
DEL-00115,50309,63101,2023-05-31,2023-06-03,2023-06-03,standard,98.8,express,delivered,Amazon Logistics,CircuitPeak Electronics
DEL-00116,80202,02101,2023-05-12,2023-05-13,,standard,73.4,overnight,in_transit,USPS,Heritage Art Movers
DEL-00117,50309,95814,2023-04-20,2023-04-26,2023-04-26,electronics,113.6,standard,delivered,UPS,Pinnacle Pharma
DEL-00118,59601,04101,2023-05-17,2023-05-21,2023-05-22,fragile,70.7,standard,delayed,Amazon Logistics,Crystal Clear Imports
DEL-00119,84101,90001,2023-04-29,2023-04-30,,fragile,44.8,overnight,cancelled,FedEx,ByteStream Hardware
DEL-00120,63101,01201,2023-04-13,2023-04-16,2023-04-20,artwork,48.1,standard,delayed,USPS,Pinnacle Pharma
DEL-00121,07102,89101,2023-04-16,2023-04-18,,electronics,94.5,express,scheduled,FedEx,Pinnacle Pharma
DEL-00122,37201,21201,2023-04-15,2023-04-18,,chemical,97.7,express,scheduled,Amazon Logistics,Bloom & Grow Nursery
DEL-00123,88001,10001,2023-04-12,2023-04-13,,electronics,30.5,overnight,scheduled,UPS,Precision Chemicals
